CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544526.8682
MEM 16.230469 1673544526.9771
MEM 23.894531 1673544527.0772
MEM 30.437500 1673544527.1883
MEM 36.015625 1673544527.2996
MEM 41.523438 1673544527.4112
MEM 52.246094 1673544527.5222
MEM 61.722656 1673544527.6331
MEM 67.222656 1673544527.7439
MEM 72.226562 1673544527.8539
MEM 79.351562 1673544527.9650
MEM 88.828125 1673544528.0748
MEM 89.207031 1673544528.1813
MEM 94.000000 1673544528.2917
MEM 105.933594 1673544528.4018
MEM 115.312500 1673544528.5116
MEM 120.375000 1673544528.6224
MEM 135.246094 1673544528.7300
MEM 166.941406 1673544528.8406
MEM 179.492188 1673544528.9512
MEM 191.968750 1673544529.0624
MEM 205.621094 1673544529.1634
MEM 214.152344 1673544529.2715
MEM 219.800781 1673544529.3825
MEM 228.230469 1673544529.4933
MEM 235.281250 1673544529.6031
MEM 240.957031 1673544529.7096
MEM 249.453125 1673544529.8197
MEM 255.851562 1673544529.9293
MEM 262.976562 1673544530.0391
MEM 272.855469 1673544530.1539
MEM 280.050781 1673544530.2581
MEM 285.410156 1673544530.3683
MEM 288.160156 1673544530.4799
MEM 288.789062 1673544530.5896
MEM 290.046875 1673544530.6899
MEM 295.273438 1673544530.7979
MEM 305.007812 1673544530.9048
MEM 308.492188 1673544531.0219
MEM 314.812500 1673544531.1363
MEM 318.261719 1673544531.2471
MEM 347.027344 1673544531.3494
MEM 462.105469 1673544531.4610
MEM 596.492188 1673544531.5712
MEM 606.902344 1673544531.6841
MEM 609.042969 1673544531.7974
MEM 611.464844 1673544531.9054
MEM 617.597656 1673544532.0166
MEM 645.062500 1673544532.1274
MEM 654.847656 1673544532.2331
MEM 642.539062 1673544532.3348
MEM 656.789062 1673544532.4372
MEM 643.273438 1673544532.5402
MEM 653.570312 1673544532.6403
MEM 661.105469 1673544532.7437
MEM 661.460938 1673544532.8529
MEM 664.167969 1673544532.9605
MEM 662.199219 1673544533.0683
MEM 643.996094 1673544533.1826
MEM 662.195312 1673544533.2991
MEM 632.773438 1673544533.4013
MEM 664.527344 1673544533.5172
MEM 643.339844 1673544533.6338
MEM 653.171875 1673544533.7339
MEM 645.988281 1673544533.8480
MEM 643.324219 1673544533.9560
MEM 646.339844 1673544534.0589
MEM 655.714844 1673544534.1739
MEM 643.355469 1673544534.2825
MEM 632.785156 1673544534.3926
MEM 635.312500 1673544534.5045
MEM 662.390625 1673544534.6057
MEM 664.585938 1673544534.7141
MEM 666.554688 1673544534.8236
MEM 643.363281 1673544534.9318
MEM 666.878906 1673544535.0412
MEM 646.656250 1673544535.1533
MEM 646.996094 1673544535.2607
MEM 667.320312 1673544535.3696
MEM 633.445312 1673544535.4705
MEM 646.656250 1673544535.5800
MEM 644.011719 1673544535.6896
MEM 646.660156 1673544535.7922
MEM 660.914062 1673544535.9062
MEM 647.906250 1673544536.0151
MEM 646.953125 1673544536.1221
MEM 653.058594 1673544536.2312
MEM 644.078125 1673544536.3402
MEM 665.953125 1673544536.4489
MEM 644.082031 1673544536.5580
MEM 633.515625 1673544536.6659
MEM 660.882812 1673544536.7678
MEM 665.105469 1673544536.8849
MEM 646.738281 1673544536.9920
MEM 644.042969 1673544537.1009
MEM 661.250000 1673544537.2165
MEM 646.984375 1673544537.3191
MEM 654.363281 1673544537.4298
MEM 653.703125 1673544537.5381
MEM 646.742188 1673544537.6574
MEM 654.285156 1673544537.7703
MEM 664.378906 1673544537.8825
MEM 633.535156 1673544537.9958
MEM 659.910156 1673544538.1061
MEM 646.636719 1673544538.2183
MEM 644.109375 1673544538.3278
MEM 646.750000 1673544538.4358
MEM 660.964844 1673544538.5455
MEM 646.750000 1673544538.6555
MEM 667.890625 1673544538.7622
MEM 661.222656 1673544538.8703
MEM 647.898438 1673544538.9789
MEM 633.937500 1673544539.0874
MEM 635.628906 1673544539.1879
MEM 644.167969 1673544539.2974
MEM 652.019531 1673544539.4093
MEM 652.085938 1673544539.5204
MEM 641.269531 1673544539.6212
MEM 654.480469 1673544539.7239
MEM 670.921875 1673544539.8273
MEM 670.335938 1673544539.9372
MEM 654.796875 1673544540.0394
MEM 654.480469 1673544540.1403
MEM 662.093750 1673544540.2457
MEM 651.835938 1673544540.3680
MEM 641.269531 1673544540.4682
MEM 652.218750 1673544540.5772
MEM 641.269531 1673544540.6872
MEM 641.269531 1673544540.7981
MEM 654.835938 1673544540.9093
MEM 667.093750 1673544541.0179
MEM 654.867188 1673544541.1279
MEM 665.046875 1673544541.2402
MEM 654.855469 1673544541.3478
MEM 642.503906 1673544541.4543
MEM 651.820312 1673544541.5690
MEM 654.812500 1673544541.6794
MEM 661.691406 1673544541.7907
MEM 651.820312 1673544541.8994
MEM 653.894531 1673544542.0123
MEM 659.218750 1673544542.1222
MEM 671.027344 1673544542.2277
MEM 654.593750 1673544542.3320
MEM 655.574219 1673544542.4449
MEM 667.691406 1673544542.5492
MEM 669.199219 1673544542.6641
MEM 662.070312 1673544542.7660
MEM 641.269531 1673544542.8696
MEM 643.125000 1673544542.9829
MEM 647.128906 1673544543.0969
MEM 641.269531 1673544543.1971
