CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.683594 1673545679.9178
MEM 16.167969 1673545680.0274
MEM 25.371094 1673545680.1379
MEM 31.519531 1673545680.2510
MEM 38.066406 1673545680.3617
MEM 44.523438 1673545680.4670
MEM 55.917969 1673545680.5796
MEM 64.859375 1673545680.6905
MEM 70.679688 1673545680.8013
MEM 74.324219 1673545680.9118
MEM 81.886719 1673545681.0131
MEM 88.707031 1673545681.1182
MEM 89.132812 1673545681.2196
MEM 98.300781 1673545681.3350
MEM 106.308594 1673545681.4359
MEM 114.667969 1673545681.5398
MEM 119.386719 1673545681.6441
MEM 132.714844 1673545681.7547
MEM 165.652344 1673545681.8650
MEM 178.324219 1673545681.9771
MEM 190.597656 1673545682.0811
MEM 205.679688 1673545682.1934
MEM 213.941406 1673545682.3041
MEM 219.648438 1673545682.4149
MEM 228.046875 1673545682.5195
MEM 234.601562 1673545682.6303
MEM 240.492188 1673545682.7423
MEM 249.226562 1673545682.8523
MEM 255.425781 1673545682.9633
MEM 262.820312 1673545683.0773
MEM 271.906250 1673545683.1782
MEM 277.085938 1673545683.2888
MEM 284.296875 1673545683.3980
MEM 287.128906 1673545683.5049
MEM 288.597656 1673545683.6162
MEM 290.253906 1673545683.7270
MEM 296.597656 1673545683.8380
MEM 306.171875 1673545683.9490
MEM 308.218750 1673545684.0597
MEM 313.824219 1673545684.1647
MEM 318.234375 1673545684.2772
MEM 348.226562 1673545684.3893
MEM 498.191406 1673545684.5009
MEM 568.355469 1673545684.6122
MEM 320.492188 1673545684.7224
MEM 315.234375 1673545684.8331
MEM 171.472656 1673545684.9482
