CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544392.2679
MEM 16.156250 1673544392.3781
MEM 25.230469 1673544392.4889
MEM 30.484375 1673544392.5902
MEM 36.699219 1673544392.7008
MEM 41.875000 1673544392.8118
MEM 53.269531 1673544392.9220
MEM 61.871094 1673544393.0332
MEM 67.199219 1673544393.1470
MEM 72.417969 1673544393.2574
MEM 79.496094 1673544393.3689
MEM 88.769531 1673544393.4800
MEM 89.230469 1673544393.5915
MEM 94.230469 1673544393.7038
MEM 105.593750 1673544393.8147
MEM 115.152344 1673544393.9251
MEM 120.453125 1673544394.0373
MEM 141.031250 1673544394.1483
MEM 167.207031 1673544394.2540
MEM 181.773438 1673544394.3647
MEM 192.878906 1673544394.4755
MEM 207.449219 1673544394.5873
MEM 214.722656 1673544394.7071
MEM 220.406250 1673544394.8108
MEM 228.816406 1673544394.9221
MEM 235.535156 1673544395.0333
MEM 240.667969 1673544395.1462
MEM 249.273438 1673544395.2572
MEM 254.078125 1673544395.3573
MEM 260.394531 1673544395.4673
MEM 269.347656 1673544395.5711
MEM 274.480469 1673544395.6780
MEM 284.023438 1673544395.7831
MEM 286.253906 1673544395.8972
MEM 287.597656 1673544396.0109
MEM 289.285156 1673544396.1210
MEM 296.718750 1673544396.2322
MEM 306.144531 1673544396.3392
MEM 308.566406 1673544396.4506
MEM 314.367188 1673544396.5606
MEM 320.253906 1673544396.6710
MEM 353.023438 1673544396.7831
MEM 535.039062 1673544396.8872
MEM 540.011719 1673544397.0073
MEM 372.425781 1673544397.1194
MEM 314.933594 1673544397.2311
MEM 176.492188 1673544397.3480
